token,frequency,token_length,rank,frequency_group
មានក្រឡាផ្ទៃប្រហែល,1,18,353,Rare (<10)
ហិចតា,1,5,354,Rare (<10)
រាងចតុកោណ,1,9,355,Rare (<10)
ដែលកំណត់ដោយកំពែងព័ទ្ធជុំវិញ,1,27,356,Rare (<10)
គូទឹក,1,5,357,Rare (<10)
ដែលមានទទឹង,1,10,358,Rare (<10)
បរិវេណនៃកំពែង,1,13,359,Rare (<10)
គឺមានប្រវែងប្រហែល,1,17,360,Rare (<10)
ផ្លូវចូលធ្វើអំពីថ្មភក់មានប្រវែងបណ្តោយ,1,37,361,Rare (<10)
២៥០,1,3,362,Rare (<10)
និងទទឹង,1,7,363,Rare (<10)
ដោយសារតែទំហំដ៏ធំ,1,16,364,Rare (<10)
និងស្ថាបត្យកម្មដ៏អស្ចារ្យនេះ,1,28,365,Rare (<10)
មានមនុស្សមួយចំនួនគិតថា,1,22,366,Rare (<10)
ប្រាសាទអង្គរវត្តមិនមែនជាស្នាដៃរបស់មនុស្សទេ,1,42,367,Rare (<10)
គឺជាស្នាដៃរបស់អាទិទេពពីព្រោះដោយសារប្រណីត។។នៅខាងមុខផ្លូវចូលមានតោថ្មធំៗ,1,69,368,Rare (<10)
ឈរយាមនៅអមសងខាងផ្លូវ។,1,20,369,Rare (<10)
នៅខាងចុងនៃផ្លូវចូលនោះ,1,21,370,Rare (<10)
មានគោបុរៈប្រាង្គបី,1,18,371,Rare (<10)
ដែលមានកម្ពស់ខុសគ្នា,1,19,372,Rare (<10)
ហើយប្រាង្គផ្នែកខាងលើត្រូវបានដួលរលំហើយ។,1,38,373,Rare (<10)
នៅគោបុរៈនោះ,1,11,374,Rare (<10)
មានថែវដែលមានកំពូលជាវូត។,1,23,375,Rare (<10)
បន្ទាប់ពី,1,9,376,Rare (<10)
គោបុរៈមកគឺមានផ្លូវមួយដែលមានប្រវែងបណ្តោយ,1,39,377,Rare (<10)
ទទឹង,1,4,378,Rare (<10)
ធ្វើពីថ្មភក់,1,12,379,Rare (<10)
បង្កាន់ដៃនាគនៅអមសងខាង។,1,22,380,Rare (<10)
តាំងនៅ,1,6,381,Rare (<10)
13,1,2,382,Rare (<10)
24,1,2,383,Rare (<10)
45,1,2,384,Rare (<10)
″N,1,2,385,Rare (<10)
103,1,3,386,Rare (<10)
52,1,2,387,Rare (<10)
0,1,1,388,Rare (<10)
″E,1,2,389,Rare (<10)
គឺជាការបន្សំតែមួយគត់នៃប្រាសាទភ្នំ,1,33,390,Rare (<10)
ការរចនាជាបទដ្ឋានសម្រាប់ពួកប្រាសាទសភាវៈតំណាងរបស់អធិរាជាណាចក្រនេះ,1,63,391,Rare (<10)
គ្រោងចុងក្រោយនៃថែវសហមជ្ឈមណ្ឌល,1,29,392,Rare (<10)
និងឥទ្ធិពលពីឱឌ៉ិឝានិងចោឡ៊រ៊,1,27,393,Rare (<10)
នៃទមិឡនាដុ,1,10,394,Rare (<10)
ឥណ្ឌា។,1,6,395,Rare (<10)
ប្រាសាទនេះគឺជាតំណាងនៃភ្នំព្រះសុមេរុ,1,35,396,Rare (<10)
លំនៅនៃពួកទេវៈ,1,13,397,Rare (<10)
ជួរចតុរង្គចំកណ្ដាលនៃប្រាង្គជាសញ្ញាសំគាល់កំពូលទាំងប្រាំនៃភ្នំ,1,60,398,Rare (<10)
ហើយជញ្ជាំងនិងគូទឹក,1,18,399,Rare (<10)
ជាជួរភ្នំព័ទ្ធជុំវិញ,1,20,400,Rare (<10)
និងមហាសមុទ្រ។,1,13,401,Rare (<10)
ច្រកចូលទៅកាន់តំបន់ខាងលើនៃប្រាសាទគឺកាន់តែដាច់ដោយឡែកជាលំដាប់,1,58,402,Rare (<10)
ជាមួយនឹងពួកគ្រហស្ថដែលកំពុងត្រូវបានគេអនុញ្ញាតឱ្យចូលនៅជាន់ទាបបំផុតតែប៉ុណ្ណោះ។,1,75,403,Rare (<10)
មិនដូចប្រាសាទខ្មែរភាគច្រើនទេ,1,28,404,Rare (<10)
អង្គរវត្តគឺបែរមុខទៅទិសខាងលិច,1,28,405,Rare (<10)
ផ្ទុយពីប្រាសាទផ្សេងបែរទៅទិសខាងកើត។,1,34,406,Rare (<10)
នេះបាននាំមកនូវហេតុជាច្រើន,1,25,407,Rare (<10)
រួមមានហ្គ្លេសហ្សឹ,1,17,408,Rare (<10)
ហ្សក,1,4,409,Rare (<10)
សឺដេស,1,5,410,Rare (<10)
សន្និដ្ឋានថាព្រះបាទសូរ្យវរ្ម័នបានបម្រុងទុកវាសម្រាប់ជាប្រាសាទបញ្ចុះព្រះសពរបស់ទ្រង់។,1,82,411,Rare (<10)
ភស្តុតាងបន្ថែមទៀតចំពោះការមើលឃើញដូចនេះត្រូវបានផ្ដល់ដោយចម្លាក់លៀនស្រាលៗ,1,69,412,Rare (<10)
ដែលបានធ្វើតាមក្បួនក្នុងទិសដៅប្រឆាំងនឹងទក្ខិណាវដ្ដ,1,49,413,Rare (<10)
ប្រសវ្យៈជាយត្តសព្ទវិជ្ជាហិណ្ឌូ,1,30,414,Rare (<10)
ដូចនេះគឺជាការបញ្ច្រាសនៃរបៀបធម្មតា។,1,34,415,Rare (<10)
ក្បួនរីត៍ជាច្រើនប្រារព្ធក្នុងរបៀបបញ្ច្រាសកំឡុងសេវការបុណ្យសពព្រហ្មញ្ញ។,1,69,416,Rare (<10)
បុរាណវិទូ,1,9,417,Rare (<10)
ឆាលអឹស,1,6,418,Rare (<10)
ហាយអ៊ែមក៏បានពិពណ៌នានូវអ្វីនៅខាងក្នុងដែលប្រហែលជាក្រឡបញ្ចុះសពដែលត្រូវបានគេយកមកពីប្រាង្គប៉មកណ្ដាល។,1,95,419,Rare (<10)
វាត្រូវបានគេហៅដោយអ្នកខ្លះថាជាការចំណាយកម្លាំងច្រើនបំផុតលើសាកសពមួយដែលគេបោះបង់ចោល។,1,79,420,Rare (<10)
ហ៊្វ្រីម៉ឹន,1,11,421,Rare (<10)
ចាខ,1,3,422,Rare (<10)
យ៉ាងណាក៏ដោយ,1,11,423,Rare (<10)
កត់សម្គាល់ថាប្រាសាទអង្គរផ្សេងៗជាច្រើនបែរមុខចេញពីទិសខាងកើតជាធម្មតា,1,65,424,Rare (<10)
និងផ្ដល់យោបល់ថាការបង្វែររបស់អង្គរវត្តគឺដោយសារតែការឧទ្ទិសរបស់ប្រាសាទដល់ព្រះវិស្ណុ,1,80,425,Rare (<10)
ដែលព្រះអង្គរាប់អាននឹងទិសខាងលិច។,1,31,426,Rare (<10)
ការបកស្រាយបន្ថែមអំពីអង្គរវត្តត្រូវបានស្នើដោយអិលឡឹណឺរ,1,52,427,Rare (<10)
មែនិកា។,1,7,428,Rare (<10)
ដោយទាញយកការបង្វែរទិសនិងទំហំខ្នាតរបស់ប្រាសាទនេះ,1,46,429,Rare (<10)
ហើយនិងនៅលើភាគខាងក្នុងនិងការរៀបចំនៃចម្លាក់លៀនស្រាលៗ,1,50,430,Rare (<10)
គាត់លើកឡើងថារចនាសម្ព័ន្ធសំណង់បង្ហាញនូវសករាជថ្មីនៃសន្តិភាពដែលបានប្រកាសក្រោមរាជព្រះបាទសូរ្យវរ្ម័នទី,1,97,431,Rare (<10)
ជារង្វាស់នៃវដ្តកាលសុរិយគតិ,1,26,432,Rare (<10)
និងចន្ទគតិត្រូវបានសាងជាលំហពិសិដ្ឋនៃអង្គរវត្ត,1,44,433,Rare (<10)
អាណត្តិទេពនេះដើម្បីដឹកនាំត្រូវបានពឹងទៅលើមន្ទីរនិងសាលស័ក្ដសិទ្ធ,1,62,434,Rare (<10)
ដែលក្នុងន័យចងចាំនូវអំណាចរបស់ព្រះរាជា,1,36,435,Rare (<10)
និងដើម្បីគោរពដល់និងធ្វើឱ្យស្ងប់ព្រះទ័យពួកទេវៈដែលគង់នៅស្ថានលើ។,1,61,436,Rare (<10)
ការលើកឡើងរបស់មែនិកាត្រូវបានទទួលយកជាមួយការលាយឡំគ្នានៃចំណាប់អារម្មណ៍និងសង្ស័យនិយមក្នុងរង្វង់បណ្ឌិតសភា។,1,100,437,Rare (<10)
គាត់ដាក់ខ្លួនឯងអោយនៅឆ្ងាយពីបរិកប្បកម្មនៃអ្នកដទៃ,1,47,438,Rare (<10)
ដូចជាហ្គ្រេម,1,12,439,Rare (<10)
ហ៊ែងខខ់,1,7,440,Rare (<10)
ថាអង្គរវត្តគឺជាផ្នែកនៃតំណាងតារានិករមករ។,1,39,441,Rare (<10)
អង្គរវត្តជាគំរូដំបូងនៃរចនាបថបុរាណនៃស្ថាបត្យកម្មខ្មែរ,1,52,442,Rare (<10)
រចនាបថអង្គរវត្ត,1,15,443,Rare (<10)
ដែលវាបានដាក់ឈ្មោះតាមប្រាសាទនេះ។,1,31,444,Rare (<10)
នៅសតវត្សទី,1,10,445,Rare (<10)
ពួកស្ថាបត្យករខ្មែរធ្លាប់មានជំនាញនិងទំនុកចិត្តក្នុងការប្រើប្រាស់ថ្មភក់,1,69,446,Rare (<10)
ផ្ទុយពីឥដ្ឋ,1,11,447,Rare (<10)
ថ្មបាយក្រៀម,1,11,448,Rare (<10)
សម្ភារៈសាងសង់សំខាន់។,1,20,449,Rare (<10)
ភាគច្រើនទីដែលមើលឃើញគឺជាដុំថ្មភក់,1,32,450,Rare (<10)
ដែលពេលនោះថ្មបាយក្រៀមត្រូវបានប្រើសម្រាប់កំពែងខាងក្រៅនិងសម្រាប់ផ្នែកខ្លះនៃរចនាសម្ព័ន្ធសំណង់ដែលបានលាក់កំបាំង។,1,106,451,Rare (<10)
ភ្នាក់ងារដែលរុំភ្ជាប់បានប្រើប្រាស់ដើម្បីចូលរួមទៅជាដុំៗតែមិនទាន់ត្រូវបានគេដឹងនៅឡើយ,1,81,452,Rare (<10)
ថ្វីបើជ័រឈើធម្មជាតិ,1,19,453,Rare (<10)
កំបោរប្រេងត្រូវបានគេលើកឡើងក៏ដោយ។,1,32,454,Rare (<10)
អង្គរវត្តទាញបានការកោតសរសើរលើសគេបង្អស់ចំពោះភាពស៊ីគ្នានៃការរចនាផ្ទាល់ខ្លួន,1,72,455,Rare (<10)
ដែលត្រូវបានគេប្រៀបធៀបនឹងស្ថាបត្យកម្មនៃក្រិកនិងរ៉ូមបុរាណ។,1,56,456,Rare (<10)
តាមរយៈលោកម៉ូហ៊្រីស,1,18,457,Rare (<10)
ហ្គ្លេសហ្សឹ,1,11,458,Rare (<10)
អ្នកអភិរក្សអង្គរពាក់កណ្ដាលសតវត្សទី,1,34,459,Rare (<10)
ប្រាសាទនេះ,1,10,460,Rare (<10)
សម្រេចបានភាពល្អឥតខ្ចោះតាមបែបបុរាណដោយសារបូជនីយដ្ឋានភាពដែលបានបង្អាក់នូវធាតុនឹងនរយ៉ាងល្អវិចិត្រនិងការរៀបចំយ៉ាងត្រឹមត្រូវនៃខ្នាតទំហំរបស់ប្រាសាទ។,1,140,461,Rare (<10)
វាគឺជាកិច្ចការងារនៃអំណាច,1,24,462,Rare (<10)
ឯកភាព,1,5,463,Rare (<10)
និងរចនាបថ។,1,10,464,Rare (<10)
តាមស្ថាបត្យកម្ម,1,15,465,Rare (<10)
ចរិកលក្ខណៈធាតុជាច្រើននៃរចនាបថនេះរួមមាន,1,38,466,Rare (<10)
ប្រាង្គប៉មរាងក្បាលទូក,1,21,467,Rare (<10)
បុនទន្តដែលមានរាងដូចជាត្របកឈូកច្រើន,1,34,468,Rare (<10)
កន្លះ,1,5,469,Rare (<10)
ថែវពង្រីកផ្លូវរបៀង,1,18,470,Rare (<10)
ថែវអ័ក្សភ្ជាប់ទៅនឹងរបងព័ទ្ធជុំវិញ,1,33,471,Rare (<10)
និងលានរាងកាកបាទដែលលេចឡើងតាមបណ្ដោយអ័ក្សធំនៃប្រាសាទ។,1,50,472,Rare (<10)
ធាតុផ្សំតុបតែងជាធម្មតាគឺទេវតា,1,29,473,Rare (<10)
អប្សរា,1,6,474,Rare (<10)
ចម្លាក់លៀនស្រាលៗ,1,16,475,Rare (<10)
និងនៅលើកម្រងផ្កាភ្ញីធំសន្ធឹងរបស់ហោជាង,1,37,476,Rare (<10)
និងឈុតឆាកនិទានកថា។,1,18,477,Rare (<10)
រូបចម្លាក់បដិមានៃអង្គរវត្តត្រូវបានចាត់ចែងទុកអភិរក្ស,1,51,478,Rare (<10)
កំពុងតែនៅដដែលនិងមិនសូវមាំមួនជាងស្នាដៃដើមដំបូងឡើយ។,1,49,479,Rare (<10)
ធាតុសំខាន់ផ្សេងទៀតនៃការរចនាត្រូវបានគេបំផ្លិចបំផ្លាញដោយការលួចឆក់ប្លន់និងការកន្លងទៅនៃពេលវេលា,1,90,480,Rare (<10)
រួមមានការបូកពាសស្រោបមាសលើប៉មប្រាង្គ,1,35,481,Rare (<10)
ដោយការស្រោបមាសលើរូបចម្លាក់លើចម្លាក់លៀនស្រាលៗ,1,44,482,Rare (<10)
និងបន្ទះពិតានឈើនិងទ្វារនានា។,1,28,483,Rare (<10)
រចនាបថអង្គរវត្តត្រូវបានតោងបន្តដោយសម័យបាយ័ន,1,42,484,Rare (<10)
នៅក្នុងនោះដែលគុណភាពត្រូវបានបូជាយញ្ញជាញឹកញាប់ទៅដល់បរិមាណ។,1,56,485,Rare (<10)
ប្រាសាទដទៃទៀតស្ថិតក្នុងរចនាបថនេះគឺ,1,34,486,Rare (<10)
បន្ទាយសំរែ,1,10,487,Rare (<10)
ធម្មនន្ទ,1,8,488,Rare (<10)
ចៅសាយទេវតា,1,10,489,Rare (<10)
និងប្រាសាទដំបូងក្នុងនោះព្រះពិធូរ,1,32,490,Rare (<10)
នៅអង្គរ,1,7,491,Rare (<10)
ខាងក្រៅអង្គរ,1,12,492,Rare (<10)
បឹងមាលា,1,7,493,Rare (<10)
និងភាគខ្លះនៃភ្នំរុងនិងពិមាយ។,1,28,494,Rare (<10)
តាមការសន្និដ្ឋានរបស់អ្នកស្រាវជ្រាវ,1,34,495,Rare (<10)
ប្រើកម្លាំងពលកម្មប្រម៉ាណជាង,1,27,496,Rare (<10)
30,1,2,497,Rare (<10)
មុឺននាក់,1,8,498,Rare (<10)
ដំរី,1,4,499,Rare (<10)
ជាង,1,3,500,Rare (<10)
6,1,1,501,Rare (<10)
ពាន់ក្បាល,1,9,502,Rare (<10)
និងប្រើប្រាស់ថ្ម,1,16,503,Rare (<10)
សរុបប្រមាណជាង,1,13,504,Rare (<10)
10,1,2,505,Rare (<10)
នៅក្នុងទំហំ,1,11,506,Rare (<10)
ខ្នាត,1,5,507,Rare (<10)
ភាពស៊ីមេទ្រី,1,12,508,Rare (<10)
ឡើងដល់កំពូល,1,11,509,Rare (<10)
ដែលត្រូវបាន,1,11,510,Rare (<10)
គេជឿថាជាប្រាសាទសាសនា,1,20,511,Rare (<10)
ដ៏ធំបំផុត,1,9,512,Rare (<10)
របស់ពិភពលោក។,1,12,513,Rare (<10)
អង្គរវត្តជាប់ជាស្ថាបត្យកម្មកំពូលក្នុងលោក,1,40,514,Rare (<10)
ប្រាសាទដែលបង្រួមឧបទ្វីបទាំងអស់បញ្ជូលគ្នា។,1,41,515,Rare (<10)
រៀងរាល់ថ្ងៃទី,1,13,516,Rare (<10)
21,1,2,517,Rare (<10)
ខែមីនា,1,6,518,Rare (<10)
និងថ្ងៃទី,1,9,519,Rare (<10)
23,1,2,520,Rare (<10)
ខែកញ្ញា,1,7,521,Rare (<10)
គឺព្រះអាទិត្យរះនិងលិចចំកណ្តាលកំពូលប្រាសាទអង្គរវត្តដែលចែករយៈពេល,1,62,522,Rare (<10)
យប់,1,3,523,Rare (<10)
ស្មើគ្នា,1,8,524,Rare (<10)
សមរាត្រី,1,8,525,Rare (<10)
គ្រប់អ័ក្សនៃប៉មរបស់ប្រាសាទ,1,26,526,Rare (<10)
គឺកើតចេញពីរង្វង់មូលដែល,1,22,527,Rare (<10)
តំណាងឲ្យហ្វូងតារា,1,17,528,Rare (<10)
ត្រាគោ,1,6,529,Rare (<10)
Draco,1,5,530,Rare (<10)
កញ្ជុំសកលដែលមានអាយុកាល,1,22,531,Rare (<10)
លានឆ្នាំ,1,8,532,Rare (<10)
ដែលមានចម្ងាយពីផែនដី,1,19,533,Rare (<10)
19,1,2,534,Rare (<10)
ទ្រីលានគីឡូម៉ែត្រ,1,17,535,Rare (<10)
ដោយស្មើនិងរវង្វាស់កាំរស្មីព្រះអាទិត្យ,1,37,536,Rare (<10)
ឆ្នាំពន្លឺ,1,10,537,Rare (<10)
ប្រាសាទអង្គរវត្តមាន,1,19,538,Rare (<10)
រាងឆ្លុះអ័ក្ស,1,13,539,Rare (<10)
ជាន់ជាប់ៗគ្នាបើធៀបនឹងផ្ទៃទឹកបារាយ,1,33,540,Rare (<10)
បច្ចុប្បន្នបារាយខាងកើតត្រូវបានរីងស្ងួត,1,38,541,Rare (<10)
អ័ក្សទាំង,1,9,542,Rare (<10)
ប្រៀបដូចជា,1,10,543,Rare (<10)
រាងផ្កាយរណបដែលសំយោគយកថាមពលព្រះអាទិត្យដែលបានបាញ់បង្ហោះនៅពេលបច្ចុប្បន្ន។,1,70,544,Rare (<10)
គ្រឹះប្រាសាទធ្វើអំពីដីខ្សាច់,1,28,545,Rare (<10)
ដែលពឹងលើគូទឹកដែលព័ទ្ធជុំវិញប្រាសាទទាំងស្រុង។,1,44,546,Rare (<10)
គ្រប់ប៉មនៃអង្គរវត្តជាចំនុចដែលបង្កើតរាងជាសត្វអណ្ដើកដែលទាក់ទងនិងរឿងកូរសមុទ្រទឹកដោះ,1,80,547,Rare (<10)
កូរសមុទ្រចក្រវាឡ,1,16,548,Rare (<10)
។​,1,2,549,Rare (<10)
ស្ថិតនឹងខ្សែអ័ក្សទី,1,19,550,Rare (<10)
7,1,1,551,Rare (<10)
នៃរយៈទទឹងរបស់ផែនដីដែលខ្សែរនោះជាន់គ្នាជាមួយនឹង,1,45,552,Rare (<10)
ប្រាសាទពីរ៉ាមីត,1,15,553,Rare (<10)
ជីហ្សា,1,6,554,Rare (<10)
របស់អេសុីប,1,10,555,Rare (<10)
ប្រាង្គឆីកឈេនអុីតសា,1,19,556,Rare (<10)
របស់មុិចសុិច,1,12,557,Rare (<10)
និងចុងក្រោយជាមួយរូបសំណាកមនុស្សបុរេប្រវត្តិ,1,42,558,Rare (<10)
របស់ឈីលី,1,8,559,Rare (<10)
អង្គរវត្តមានលក្ខណៈពិសេសមួយគឺប្រែពណ៌ពីសំរិទ្ធទៅប្រាក់,1,52,560,Rare (<10)
ពីប្រាក់មកមាស,1,13,561,Rare (<10)
ទៅតាមពេលវេលាមួយទៀងទាត់,1,22,562,Rare (<10)
ព្រឹក,1,5,563,Rare (<10)
រសៀល។,1,5,564,Rare (<10)
អង្គរវត្តមានរូបភាពលាក់បង្កប់ច្រើនជាង,1,36,565,Rare (<10)
200,1,3,566,Rare (<10)
ផ្ទាំងដែលមិនអាចមើលដឹងដោយភ្នែកទទេបាន,1,35,567,Rare (<10)
ត្រូវជំនួយដោយបច្ចេកវិទ្យា,1,25,568,Rare (<10)
Scan,1,4,569,Rare (<10)
Effect,1,6,570,Rare (<10)
អ្នកស្រាវជ្រាវបានឲ្យដឹងទៀតថា,1,28,571,Rare (<10)
មានតម្លៃទាំងផ្នែកបញ្ញា,1,22,572,Rare (<10)
ផ្នែកស្ថាបត្យកម្មនិងសម្បត្តិវប្បធម៌។,1,36,573,Rare (<10)
អង្គរវត្តជាស្ថាបត្យកម្មបានទទួលការគណនានិងធ្វើឡើងយ៉ាងសុក្រឹត្យបំផុតនៅលើពិភពលោក។,1,77,574,Rare (<10)
ក្រុមអ្នកស្រាវជ្រាវនៅតែចោទជាសំនួរទៅកាន់ប្រាសាទដ៏អស្ចារ្យក្នុងលោកនេះ។,1,68,575,Rare (<10)
កំពែងខាងក្រៅ,1,12,576,Rare (<10)
១០២៤,1,4,577,Rare (<10)
កំពស់,1,5,578,Rare (<10)
ព័ទ្ធជុំវិញដោយលាននៃធ្លាបើក,1,26,579,Rare (<10)
និងគូទឹកមួយបណ្ដោយ,1,17,580,Rare (<10)
១៩០,1,3,581,Rare (<10)
ច្រកចូលទៅប្រាសាទនេះគឺនៅក្បែរច្រាំងដីនៅខាងកើតនិងផ្លូវកាត់ទឹកធ្វើពីថ្មភក់ទៅខាងលិច,1,79,582,Rare (<10)
នៅខាងចុង,1,8,583,Rare (<10)
ច្រកចូលធំ,1,9,584,Rare (<10)
គឺជាការបន្ថែមចុងក្រោយ,1,21,585,Rare (<10)
ប្រហែលជាជំនួសឲ្យស្ពានឈើ។,1,24,586,Rare (<10)
មាន,1,3,587,Rare (<10)
គោបុរៈជាច្រើន,1,13,588,Rare (<10)
នៅគ្រប់ទិសធំៗ,1,13,589,Rare (<10)
ខាងលិចនៅឆ្ងាយពីអាធំជាងគេបង្អស់ហើយនិងមានប៉មប្រាង្គបាក់បែកបី។,1,59,590,Rare (<10)
លោកហ្គ្លេសហ្សឹកត់សម្គាល់ថាគោបុរៈនេះទាំងលាក់កំបាំងនិងចំណាំងឱ្យទ្រង់ទ្រាយប្រាសាទនេះសមរម្យ។,1,88,591,Rare (<10)
ខាងក្រោមប្រាង្គខាងត្បូងមានរូបចម្លាក់ព្រះវិស្ណុមួយអង្គ,1,53,592,Rare (<10)
ដែលគេស្គាល់ថា,1,13,593,Rare (<10)
តារាជ,1,5,594,Rare (<10)
ដែលប្រហែលដើមឡើយបានស្ថិតនៅកន្លែងសក្ការៈបូជាកណ្ដាលនៃប្រាសាទ។,1,58,595,Rare (<10)
ថែវជាច្រើនរត់នៅចន្លោះប្រាង្គនានានិងឆ្ងាយរហូតដល់ច្រកចូលពីរថែមទៀតនៅខាងណាមួយនៃគោបុរៈជារឿយៗចាត់ទុកថាជាច្រកដំរី,1,106,596,Rare (<10)
តាមដែលច្រកនោះមានទំហំល្មមដើម្បីអោយសត្វទាំងនោះចូលបាន។,1,51,597,Rare (<10)
ថែវទាំងនេះមានសសរបួនជ្រុងនៅខាងក្រៅ,1,33,598,Rare (<10)
ខាងលិច,1,6,599,Rare (<10)
និងជញ្ជាំងបិទជិតនៅខាងក្នុង,1,26,600,Rare (<10)
ខាងកើត,1,6,601,Rare (<10)
ពិតានចន្លោះសសរទាំងនោះតុបតែងដោយត្របកឈូក,1,38,602,Rare (<10)
ផ្ទៃនៃជញ្ជាំងខាងលិចមានរូបចម្លាក់រេរាំ,1,37,603,Rare (<10)
និងផ្ទៃជញ្ជាំងខាងកើតមានបង្អួចមានជើងទៀន,1,38,604,Rare (<10)
រូបចម្លាក់ប្រុសកំពុងតែរេរាំលើសត្វដែលកំពុងលោតកញ្ឆេង,1,50,605,Rare (<10)
ហើយនិងអប្សរា,1,12,606,Rare (<10)
ដែលរួមមាន,1,9,607,Rare (<10)
ខាងត្បូងនៃច្រកចូល,1,17,608,Rare (<10)
តែមួយក្នុងប្រាសាទនេះកំពុងតែបង្ហាញធ្មេញរបស់នាង។,1,46,609,Rare (<10)
កំពែងខាងក្រៅព័ទ្ធជុំវិញបរិវេណ,1,29,610,Rare (<10)
៨២០០០០,1,6,611,Rare (<10)
មាត្រការ៉េ,1,10,612,Rare (<10)
២០៣,1,3,613,Rare (<10)
អេកឺរ,1,5,614,Rare (<10)
ដែលម្យ៉ាងទៀតប្រាសាទកណ្ដាលត្រូវបានកាន់កាប់ដោយទីក្រុងនេះតាំងពីដើម,1,63,615,Rare (<10)
និងនៅខាងជើងប្រាសាទនេះ,1,21,616,Rare (<10)
គឺព្រះបរមរាជវាំង។,1,17,617,Rare (<10)
ដូចសំណង់មិនទាក់ទងសាសនាទាំងអស់នៃអង្គរ,1,36,618,Rare (<10)
ដែលទាំងនោះត្រូវបានសាងសង់ឡើងដោយសម្ភារៈដែលអាចខូចបានខុសពីថ្ម,1,57,619,Rare (<10)
ដូច្នេះគ្មានអ្វីសេសសល់ក្នុងចំណោមនោះទេលើកលែងតែគ្រោងខ្សែក្រៅនៃផ្លូវខ្លះៗ។,1,71,620,Rare (<10)
ភាគច្រើនបំផុតនៃតំបន់មួយនេះឥឡូវត្រូវបានគ្របដណ្ដប់ដោយព្រៃឈើ។,1,58,621,Rare (<10)
ផ្លូវឆ្លងកាត់ទឹក,1,16,622,Rare (<10)
មួយភ្ជាប់ទៅគោបុរៈខាងលិចទៅកាន់ប្រាសាទកណ្ដាល,1,42,623,Rare (<10)
ដែលមានបង្កាន់ដៃនាគ,1,18,624,Rare (<10)
និងកាំជណ្ដើរប្រាំមួយខ្សែនាំចុះទៅកាន់បុរីនៅខាងម្ខាងណាមួយ។,1,56,625,Rare (<10)
ចំហៀងនីមួយៗក៏បង្ហាញឡើងនូវបណ្ណាល័យមួយដែលមានច្រកចូលមួយចំនួននៅក្នុងចំណុចសំខាន់នីមួយៗ,1,81,626,Rare (<10)
នៅចំពីមុខនៃកាំជណ្ដើរខ្សែទីបីពីច្រកចូល,1,37,627,Rare (<10)
និងស្រះមួយនៅចន្លោះបណ្ណាល័យនិងប្រាសាទនេះ។,1,40,628,Rare (<10)
ស្រះជាច្រើនគឺជាការបន្ថែមក្រោយៗចំពោះការរចនា,1,42,629,Rare (<10)
ដូចជាលានរាងកាកបាទដែលបានយាមដោយតោភ្ជាប់ទៅនឹងច្រកឆ្លងកាត់ទឹកទៅរចនាសម្ព័ន្ធសំណង់កណ្ដាល។,1,83,630,Rare (<10)
ប្រាសាទនេះតាំងនៅលើលានមួយដែលបានលើកខ្ពស់ជាងបុរីនេះ។,1,49,631,Rare (<10)
វាត្រូវបានបង្កើតឡើងដោយថែវចតុកោណកែងបីងើបឡើងដល់ប្រាង្គកណ្ដាល,1,58,632,Rare (<10)
កំពស់នីមួយៗខ្ពស់ជាងប្រាង្គមួយចុងក្រោយគេ។,1,40,633,Rare (<10)
មែនិកាបកស្រាយថែវទាំងនេះថាជាការបូជាទៅដល់ព្រះមហាក្សត្រ,1,52,634,Rare (<10)
ព្រះព្រហ្ម,1,10,635,Rare (<10)
ព្រះចន្ទ,1,8,636,Rare (<10)
និងព្រះវិស្ណុ។,1,14,637,Rare (<10)
ថែវនីមួយៗមានគោបុរៈមួយនៅចំណុចនីមួយៗ,1,34,638,Rare (<10)
ហើយនិងថែវខាងក្នុងពីរមានប្រាង្គនៅកាច់ជ្រុងរបស់ខ្លួន,1,50,639,Rare (<10)
ដែលបង្កើតឡើងនូវជួរចតុរង្គដែលមានប្រាង្គនៅចំកណ្ដាល។ពីព្រោះតែប្រាសាទបែរមុខទៅទិសខាងលិច,1,82,640,Rare (<10)
លក្ខណៈពិសេសទាំងអស់បានកំណត់បែរឆ្ពោះទៅខាងកើត,1,42,641,Rare (<10)
ដែលបន្សល់ទុកទីលំហបន្ថែមទៀតដែលត្រូវបានបំពេញនៅក្នុងវាំងចំណារនីមួយនិងថែវនៅចំហៀងខាងលិច,1,82,642,Rare (<10)
ចំពោះហេតុផលដដែលកាំជណ្ដើរបែរមុខទៅខាងលិចរាក់ជាងកន្លែងផ្សេងនៅខាងផ្សេងៗទៀត។,1,71,643,Rare (<10)
ថែវខាងក្រៅនេះ,1,13,644,Rare (<10)
១៨៧,1,3,645,Rare (<10)
គុណ,1,3,646,Rare (<10)
២១៥,1,3,647,Rare (<10)
ជាមួយសាលាសំណាក់ខុសពីប្រាង្គនានានៅកាច់ជ្រុង។,1,43,648,Rare (<10)
ថែវនេះចំហទៅខាងក្រៅនៃប្រាសាទ,1,27,649,Rare (<10)
ដែលមានកន្លះ,1,11,650,Rare (<10)
ថែវច្រើនមានសសរលាតសន្ធឹងនិងជន្ទល់សំណង់នេះ។,1,41,651,Rare (<10)
ភ្ជាប់ទៅនឹងថែវខាងក្រៅទៅកាន់វាំងចំណារទីពីរលើចំហៀងខាងលិចគឺជារបៀងរាងកាកបាទហៅថា,1,75,652,Rare (<10)
